Symbol,Company Name,Market Cap,Stock Price,% Change,Industry,PE Ratio,Ent. Value,MC Group,Sector,Forward PE,Country,State,Employees,Empl. Change,Empl. Growth,Revenue,Rev. Growth 3Y,Rev. Growth 5Y,Rev Growth (Yrs),Gross Profit,GP Growth,GP Growth (Q),GP Growth 5Y,GP Growth 3Y,Net Income,Op. Income,OpInc Growth,OpInc Growth (Q),OpInc Growth 3Y,OpInc Growth 5Y,NetInc Growth,NetInc Growth (Q),NetInc Growth 3Y,NetInc Growth 5Y,NetInc Growth (Yrs),NetInc Growth (Qtrs),Total Cash,Total Debt,Rev / Employee,Prof. / Employee,Working Capital,Equity,Net WC,Rev Gr. This Y,Rev Gr. Next 5Y,Rev Gr. Next Y,Rev. Growth,Rev. Growth (Q),Rev Growth (Qtrs),Volume,Debt Growth (YoY),Debt Growth (QoQ),Debt Growth (3Y),Debt Growth (5Y),Net Cash,Net Cash Growth,Cash / M.Cap,Assets,Liabilities,Gross Margin,Oper. Margin,Pretax Margin,Profit Margin,R&D / Rev,Avg. Volume,Rel. Volume,RSI,Tax / Revenue,Rev Gr. This Q,Rev Gr. Next Q
SIMO,Silicon Motion Technology,2535614208,76.30,0.73%,Semiconductors,48.04,2253945208,Mid-Cap,Technology,22.52,Hong Kong,,1643,209,14.57%,945921000,92.41%,,3,465831000,78.61%,,,95.66%,172510000,213925000,104.06%,,228.77%,,-13.75%,,,,,,281669000,,575728,104997,604054000,732601000,,-32.02%,,25.18%,2.58%,,,131747,,,,,281669000,,11.11%,961250000,228649000,49.25%,22.62%,22.47%,18.24%,19.93%,482131,27.33%,66.33,4.24%,,
SILK,Silk Road Medical,745492672,18.71,-1.68%,Medical Devices,,639644672,Small-Cap,Healthcare,,United States,California,474,,,177134000,33.04%,38.66%,6,127086000,26.12%,19.63%,39.94%,33.07%,-55743000,-59271000,,,,,,,,,,,181474000,75626000,373700,-117601,210552000,151151000,29078000,12.82%,13.20%,11.16%,27.77%,17.97%,20,431821,1.38%,0.35%,15.93%,11.34%,105848000,-23.98%,14.20%,265309000,114158000,71.75%,-33.46%,-31.47%,-31.47%,23.33%,880668,49.03%,62.06,,13.55%,10.51%
SILO,Silo Pharma,5512260,1.91,-0.52%,Biotechnology,,-2152928,Nano-Cap,Healthcare,,United States,Florida,3,,,72102,,,,66264,,,,,-3700683,-3855592,,,,,,,,,1,2,7665188,,24034,-1233561,6905568,6176871,-759620,1.86%,0.31%,,,,,12380,,,,,7665188,-32.97%,139.06%,7746141,1569270,91.90%,-5347.41%,-5132.57%,-5132.57%,1172.08%,122162,10.13%,68.14,,1.85%,
SSIC,Silver Spike Investment,60968564,9.86,,Drug Manufacturers - Specialty & Generic,11.41,-29759967436,Micro-Cap,Healthcare,11.12,United States,New York,,,,7764501,,,1,8269592599,,391418.20%,,,5402289,5607505003,,1330095.95%,,,,501.63%,,,,,29820936000,,,,31648839326,87402852,1827903326,120.94%,,9.81%,,156.24%,1,110881,,,,,29820936000,34968.62%,48911.99%,89185449,1782597,106505.14%,72219.77%,69.58%,69.58%,,14219,779.81%,61.65,82.86%,218.82%,-13.72%
SBOW,SilverBow Resources,881898560,34.69,0.76%,Oil & Gas Exploration & Production,2.75,2095720560,Small-Cap,Energy,4.51,United States,Texas,134,,,652358000,54.36%,20.45%,,505958000,-23.93%,-3.21%,18.58%,55.19%,297716000,219942000,-52.78%,-29.62%,,14.17%,-12.55%,5.59%,,31.88%,,1,969000,1214791000,4868343,2221761,13007000,1189328000,44164000,76.74%,,10.15%,-13.41%,6.57%,1,233411,73.33%,85.41%,41.44%,25.64%,-1213822000,,-137.64%,2734462000,1545134000,77.56%,33.71%,58.45%,45.64%,,405401,57.58%,69.18,12.82%,102.22%,120.09%
SBXC,SilverBox Corp III,216935984,10.49,0.10%,Shell Companies,47.68,216145666,Micro-Cap,Financials,,United States,Texas,5,,,,,,,,,,,,3320446,-1427219,,,,,,,,,1,1,790318,,,664089,-484030,-4475202,-1274348,,,,,,,40044,,,,,790318,,0.36%,145704442,6366617,,,,,,23716,168.85%,57.71,,,
SVM,Silvercorp Metals,556983040,3.15,3.28%,Silver,17.50,359086040,Small-Cap,Materials,13.47,Canada,,1207,,,206653000,5.65%,3.50%,,88466000,3.10%,8.21%,0.58%,1.55%,31012000,52194000,62.28%,17.32%,-7.11%,-4.74%,27.42%,-11.80%,-9.98%,-4.87%,,,198295000,398000,171212,25693,159555000,511224000,-38459000,2.32%,,8.61%,-4.14%,-0.24%,,1314467,-41.38%,-12.72%,-40.28%,-38.06%,197897000,-5.58%,35.53%,719098000,115392000,42.81%,25.26%,23.29%,15.01%,,1500778,87.59%,73.70,8.28%,18.90%,2.50%
SAMG,Silvercrest Asset Management Group,143417264,15.74,4.03%,Asset Management,16.55,102448264,Micro-Cap,Financials,9.92,United States,New York,149,,,117410000,2.83%,3.54%,,117410000,-4.71%,0.18%,3.54%,2.83%,9094000,18819000,-51.20%,,-5.47%,-2.31%,-51.70%,,-2.99%,-1.14%,,,70301000,29332000,787987,61034,,82737000,,10.59%,,7.93%,-4.71%,0.18%,2,17839,-19.05%,-6.39%,-15.71%,,40969000,-0.56%,28.57%,199574000,77764000,100.00%,16.03%,11.42%,7.75%,,20473,87.13%,48.82,3.67%,4.34%,5.24%
SILV,SilverCrest Metals,946148736,6.57,2.18%,Other Precious Metals & Mining,8.32,841281736,Small-Cap,Materials,21.30,Canada,,340,,,245130000,,,1,148306000,421.84%,39.44%,,,116720000,129171000,876.35%,29.52%,,,272.90%,586.62%,,,3,11,105155000,288000,720971,343294,126760000,402325000,21672000,-11.18%,,1.44%,463.39%,50.33%,2,966701,-99.42%,-4.95%,-78.57%,,104867000,13107.43%,11.08%,460174000,57849000,60.50%,52.69%,50.28%,47.62%,0.30%,1262585,76.57%,60.80,2.66%,,
SSNT,SilverSun Technologies,68198888,13.05,-0.31%,Software - Application,,64674924,Micro-Cap,Technology,,United States,New Jersey,195,,,54516941,9.77%,8.59%,14,21613809,20.34%,21.72%,9.30%,9.24%,-1070095,1674259,,,95.70%,,,,,,,1,6143298,2619334,279574,-5488,273762,7472610,-4750718,,,,21.19%,18.56%,8,27783,9.16%,61.19%,-4.81%,9.15%,3523964,-37.17%,5.17%,20495701,13023091,39.65%,3.07%,-2.51%,-1.96%,,172686,16.09%,42.70,-0.55%,,
SYNX,Silynxcom,18690000,3.56,-7.53%,Communication Equipment,10.54,18952000,Nano-Cap,Technology,,Israel,,33,,,7264000,,,,,,,,,1798000,,,,,,,,,,1,,376000,638000,220121,54485,1152000,1276000,1290000,,,,,,,4402,,-10.64%,,,-262000,,-1.40%,4541000,3265000,,,,24.75%,,32513,13.54%,46.08,,,
SMWB,Similarweb,707694592,8.99,0.78%,Internet Content & Information,,693366592,Small-Cap,Communication Services,94.77,Israel,,899,-118,-11.60%,218019000,32.61%,,4,170929000,22.13%,15.35%,,33.36%,-29373000,-28807000,,,,,,,,,1,5,81752000,67424000,242513,-32673,-37800000,15547000,-87457000,16.88%,,13.94%,12.83%,10.53%,12,125912,-9.09%,2.60%,35.92%,,14328000,6.46%,2.02%,239013000,223466000,78.40%,-13.21%,-12.78%,-13.47%,25.76%,195626,64.36%,58.49,0.69%,14.01%,14.60%
SFNC,Simmons First National,2316061440,19.34,4.65%,Banks - Regional,14.01,3108445440,Mid-Cap,Financials,13.51,United States,Arkansas,3007,-195,-6.09%,763664000,-1.72%,3.01%,,763664000,-12.56%,-29.49%,3.01%,-1.72%,175057000,200603000,-34.56%,-79.56%,-14.40%,-5.49%,-31.73%,-71.29%,-11.77%,-4.09%,,,614092000,1406476000,253962,58216,,3426488000,,11.17%,,6.89%,-12.56%,-29.49%,,325597,1.50%,-21.36%,-11.43%,-4.76%,-792384000,,-34.21%,27345674000,23919186000,100.00%,26.27%,26.27%,22.92%,,545047,59.74%,55.84,3.35%,3.65%,0.61%
SPG,Simon Property Group,56473071616,154.33,2.43%,REIT - Retail,22.11,81822364616,Large-Cap,Real Estate,25.01,United States,Indiana,3000,-300,-9.09%,5658836000,7.09%,0.05%,3,4630450000,7.92%,12.21%,-0.03%,7.57%,2279789000,2807022000,8.65%,15.78%,12.49%,-0.83%,6.72%,10.94%,27.14%,-1.32%,1,2,1168991000,26518284000,1886279,759930,,3022834000,,-4.80%,,2.84%,6.94%,9.11%,11,1329096,4.16%,4.37%,-0.89%,2.62%,-25349293000,,-44.89%,34283495000,30595897000,81.83%,49.60%,41.79%,40.29%,,1565291,84.91%,58.76,1.45%,-3.76%,-3.91%
SPPL,SIMPPLE LTD.,13613614,0.84,-0.57%,Software - Application,,15279816,Nano-Cap,Technology,,Singapore,,34,,,4828148,,,2,2669352,,,,,-584044,-721873,,,,,,,,,,,396790,2062992,142004,-17178,270575,239577,828432,,,,55.77%,,,186007,,-15.85%,,,-1666202,,-12.24%,4325216,4085638,55.29%,-14.95%,-10.27%,-12.10%,,286096,65.02%,24.03,1.82%,,
SSD,Simpson Manufacturing Co.,8482298368,202.91,1.53%,Building Products & Equipment,24.57,8589091368,Mid-Cap,Industrials,23.12,United States,California,5497,339,6.57%,2213803000,20.41%,15.46%,14,1043755000,10.89%,9.89%,16.79%,21.89%,353987000,475149000,3.50%,-9.12%,23.48%,22.45%,5.99%,-4.87%,23.70%,22.83%,11,,429822000,536615000,402729,64396,951184000,1679746000,543862000,5.29%,,5.79%,4.62%,5.48%,18,138746,-13.99%,-12.80%,143.43%,,-106793000,,-1.26%,2704724000,1024978000,47.15%,21.46%,21.53%,15.99%,4.16%,219672,63.16%,53.42,5.54%,2.99%,3.95%
SLP,Simulations Plus,832727936,41.35,0.71%,Health Information Services,78.02,719926936,Small-Cap,Healthcare,61.11,United States,California,192,,,62113000,13.14%,15.56%,12,48502000,13.55%,5.97%,17.48%,14.34%,10661000,8807000,-26.60%,9.34%,-9.64%,-2.16%,-0.38%,56.22%,3.01%,4.02%,,1,113890000,1089000,323505,55526,121099000,172341000,7629000,13.86%,15.38%,12.15%,16.20%,21.20%,4,55620,-15.71%,-9.02%,12.20%,,112801000,-13.39%,13.55%,185778000,13437000,78.09%,14.18%,20.10%,17.16%,7.33%,99085,56.13%,45.65,2.93%,-10.70%,7.52%
SBGI,Sinclair Broadcast Group,794386496,13.19,5.60%,Entertainment,,4480386496,Small-Cap,Communication Services,18.35,United States,Maryland,7900,-3600,-31.30%,3134000000,-19.21%,0.51%,,727000000,-35.66%,-37.88%,-8.15%,-31.73%,-291000000,-321000000,,,,,,,,,,,662000000,4348000000,396709,-36835,372000000,285000000,-233000000,18.76%,-0.18%,-2.87%,-20.21%,-13.96%,,452686,-2.12%,0.16%,-30.20%,2.24%,-3686000000,,-464.01%,6085000000,5864000000,23.20%,-10.24%,-20.71%,-9.29%,,485245,93.29%,49.96,-11.42%,5.78%,12.65%
OMIC,Singular Genomics Systems,38206300,0.52,1.12%,Medical Instruments & Supplies,,-61046700,Nano-Cap,Healthcare,,United States,California,255,,,2911000,,,1,-558000,,,,,-94820000,-102801000,,,,,,,,,,,174541000,75288000,11416,-371843,173941000,179006000,7164000,163.31%,,405.01%,280.52%,41.31%,1,109995,27.95%,-2.23%,100.11%,,99253000,-47.05%,259.78%,265467000,86461000,-19.17%,-3531.47%,-3257.30%,-3257.30%,1640.81%,122118,90.07%,48.56,,-33.10%,20.85%
SGLY,Singularity Future Technology,16498458,4.76,-0.42%,Integrated Freight & Logistics,,10766472,Nano-Cap,Industrials,,United States,New York,28,,,3683754,-13.79%,-34.03%,1,-229961,,,,,-19580912,-11554397,,,,,,,,,1,3,6154436,422450,131563,-699318,2319557,7855152,-3620017,,,,-23.93%,-35.53%,,28313,-93.01%,-5.65%,-7.03%,,5731986,-80.96%,34.74%,10271081,4823072,-6.24%,-313.66%,-530.67%,-531.55%,,430139,6.58%,64.44,0.88%,,
SINT,Sintx Technologies,429056,0.05,2.43%,Medical Devices,,-3875944,Nano-Cap,Healthcare,,United States,Utah,41,,,2490000,50.60%,,2,745000,320.90%,77.78%,,66.99%,-14372000,-13516000,,,,,,,,,,,6219000,1914000,60732,-350537,4134000,10689000,-1216000,60.99%,,46.24%,159.38%,59.15%,9,9946645,-39.51%,-13.90%,-6.86%,,4305000,166.56%,1003.37%,15512000,4823000,29.92%,-542.81%,-397.43%,-577.19%,348.27%,3519734,282.60%,18.88,,6.80%,50.63%
SIRI,Sirius XM Holdings,14889331712,3.90,1.04%,Entertainment,12.19,24206331712,Large-Cap,Communication Services,12.82,United States,New York,5680,-189,-3.22%,8953000000,3.65%,9.18%,,4744000000,-2.65%,-0.57%,6.50%,2.07%,1258000000,1946000000,-4.42%,-12.63%,31.39%,2.42%,3.71%,-3.56%,112.55%,1.36%,1,,216000000,9533000000,1576232,221479,-1955000000,-2565000000,-1620000000,0.35%,4.21%,5.00%,-0.56%,0.22%,1,16669459,-2.94%,-1.57%,2.06%,6.72%,-9317000000,,-62.57%,10374000000,12939000000,52.99%,21.74%,16.96%,14.05%,3.60%,13795647,120.83%,22.75,2.90%,1.26%,-0.36%
SPNT,SiriusPoint,2059649792,12.54,3.38%,Insurance - Reinsurance,6.78,1744549792,Mid-Cap,Financials,35.13,Bermuda,,1063,-122,-10.30%,2737300000,45.44%,49.22%,1,1356000000,162.18%,-1.09%,,47.29%,338800000,417700000,,26.19%,36.21%,,,,33.16%,,1,5,1101300000,786200000,2575071,318721,,2513900000,,,,,30.00%,-4.13%,,470079,-4.47%,2.97%,83.95%,47.16%,315100000,247.41%,15.30%,12871500000,10340900000,49.54%,15.26%,11.32%,12.38%,,626527,75.03%,58.95,-1.64%,,
SITC,SITE Centers,2956016640,14.48,2.62%,REIT - Retail,11.97,4013260640,Mid-Cap,Real Estate,,United States,Ohio,220,-47,-17.60%,546275000,5.87%,-5.03%,,380554000,-0.47%,-10.21%,-5.29%,5.73%,254547000,117227000,-9.63%,-25.79%,7.95%,-1.34%,61.55%,662.10%,155.90%,25.77%,3,1,569031000,1626275000,2483068,1157032,,2175543000,,-14.35%,5.71%,9.97%,-1.10%,-9.99%,,1539692,-4.73%,-6.54%,-5.60%,-2.90%,-1057244000,,-35.77%,4061351000,1885808000,69.66%,21.46%,48.64%,46.60%,,2121147,72.59%,60.33,,-12.84%,-13.57%
SITE,SiteOne Landscape Supply,8264664064,183.60,1.69%,Industrial Distribution,48.32,9043564064,Mid-Cap,Industrials,43.96,United States,Georgia,7800,370,4.98%,4301200000,16.73%,15.28%,9,1491200000,4.90%,7.93%,17.07%,18.27%,173400000,250300000,-24.86%,,11.66%,18.46%,-29.34%,,12.65%,18.60%,,,82500000,861400000,551436,22231,827000000,1486100000,855200000,8.02%,,4.80%,7.14%,8.43%,32,220874,16.48%,-5.91%,14.89%,8.50%,-778900000,,-9.42%,2828900000,1342800000,34.67%,5.82%,5.19%,4.03%,,301508,73.26%,61.92,1.16%,5.58%,8.07%
SITM,SiTime,2062124288,91.09,1.43%,Semiconductors,,1533923288,Mid-Cap,Technology,154.10,United States,California,382,171,81.04%,143993000,7.42%,11.06%,,82088000,-55.13%,-37.25%,17.79%,12.32%,-80535000,-107200000,,,,,,,,,,,528201000,,376945,-210825,501848000,708052000,-26353000,24.06%,30.29%,31.84%,-49.23%,-30.30%,,109651,,,,,528201000,-6.36%,25.61%,951683000,243631000,57.01%,-74.45%,-55.82%,-55.93%,67.77%,203640,53.85%,44.30,0.11%,-14.81%,34.21%
STR,Sitio Royalties,3809027072,24.72,2.23%,Other Industrial Metals & Mining,,4647209072,Mid-Cap,Materials,38.04,United States,Colorado,62,13,26.53%,593356000,135.04%,43.59%,3,593356000,60.53%,49.43%,45.92%,135.04%,-77854000,35389000,-81.76%,,,-10.95%,,,,,,,34275000,872457000,9570258,-1255710,122209000,1607748000,89659000,2.79%,5.98%,-11.85%,60.53%,49.43%,11,584380,-7.75%,-12.90%,179.87%,110.72%,-838182000,,-22.01%,4758801000,1163527000,100.00%,5.96%,-15.53%,-13.12%,,515288,113.41%,64.86,-2.41%,-5.02%,11.49%
SIX,Six Flags Entertainment,2170491904,26.09,1.12%,Leisure,56.52,4624234904,Mid-Cap,Consumer Discretionary,14.57,United States,Texas,1350,-100,-6.90%,1425903000,58.73%,-0.52%,1,692554000,5.02%,3.48%,-2.03%,,38999000,290236000,-17.55%,-61.63%,,-11.10%,-61.53%,,,-32.39%,,,77585000,2531328000,1056224,28888,-334759000,-897959000,-164963000,6.60%,,4.87%,4.98%,4.53%,4,693087,-1.00%,3.86%,-3.58%,3.74%,-2453743000,,-113.05%,2711474000,3088435000,48.57%,20.35%,4.30%,2.74%,,893193,77.60%,55.88,1.56%,-0.88%,7.53%
TSLX,Sixth Street Specialty Lending,1948621952,21.24,1.09%,Asset Management,8.13,3703732952,Small-Cap,Financials,8.87,United States,Texas,,,,438087000,17.50%,10.84%,4,345904000,41.02%,21.99%,11.26%,19.05%,222023000,332495000,43.35%,22.60%,20.05%,11.84%,105.48%,10.59%,7.62%,13.28%,1,5,25196000,1780307000,,,,1496375000,,8.35%,,-3.15%,41.64%,19.36%,9,377307,23.48%,9.69%,17.04%,23.97%,-1755111000,,-90.07%,3343808000,1847433000,78.96%,75.90%,51.09%,50.68%,,406209,92.88%,52.47,0.41%,24.07%,11.09%
SYTA,Siyata Mobile,1772799,3.09,-8.04%,Communication Equipment,,2663840,Nano-Cap,Technology,,Canada,,23,,,8467267,,,,1961176,41.63%,-42.75%,,,-18360348,-13312340,,,,,,,,,1,,366155,1257196,368142,-798276,3753506,12337034,4248305,39.19%,61.38%,81.53%,34.23%,-28.25%,,8844,-14.05%,-18.01%,-48.10%,,-891041,,-50.26%,16197372,3860338,23.16%,-157.22%,-216.84%,-216.84%,2.52%,17804,49.67%,46.06,,18.35%,
SJW,SJW Group,1806603520,56.64,1.94%,Utilities - Regulated Water,21.13,3544054520,Small-Cap,Utilities,20.62,United States,California,808,51,6.74%,670363000,5.89%,11.01%,8,353959000,9.04%,-9.46%,12.60%,7.28%,84987000,149435000,14.09%,-34.74%,8.29%,15.27%,15.11%,-43.43%,11.38%,17.00%,2,,9723000,1747174000,829657,105182,-144585000,1233397000,66167000,6.00%,3.46%,3.76%,8.00%,-0.02%,,187170,5.51%,2.43%,4.32%,26.88%,-1737451000,,-96.17%,4345067000,3111670000,52.80%,22.29%,13.57%,12.68%,,174854,107.04%,46.96,0.89%,3.36%,6.22%
SKGR,SK Growth Opportunities,168797984,11.08,0.41%,Shell Companies,32.59,173965290,Micro-Cap,Financials,,United States,New York,2,,,,,,,,,,,,7981965,-1856303,,,,,,511.92%,,,,3,72694,5240000,,3990983,-5979106,-13215106,-811800,,,,,,,58038,,,,,-5167306,,-3.06%,225684649,13720225,,,,,,90827,63.90%,53.56,,,
SKM,"SK Telecom Co.,Ltd",8515231744,21.72,-2.16%,Telecom Services,10.78,14175402005,Mid-Cap,Communication Services,10.47,South Korea,,26053,1928,7.99%,9719904262,-8.03%,-5.77%,1,7850873776,2.54%,9.17%,-2.52%,-4.55%,844356856,1077573537,10.20%,,12.04%,11.79%,19.86%,-17.24%,-10.08%,-18.96%,1,,655954489,6316124750,373082,32409,-593329737,7724355643,-71995889,43.72%,,1.68%,1.41%,,4,341274,-7.33%,-18.25%,-11.12%,-4.01%,-5660170261,,-66.47%,18500934055,10776578413,80.77%,11.09%,10.58%,8.69%,,312822,109.10%,44.77,2.25%,2.49%,3.94%
SKX,Skechers U.S.A.,9198092288,60.86,1.42%,Footwear & Accessories,17.44,9619402288,Mid-Cap,Consumer Discretionary,15.58,United States,California,17900,2800,18.54%,8000342000,20.14%,11.50%,3,4152404000,18.12%,14.48%,13.30%,23.47%,545799000,784786000,43.56%,50.39%,80.39%,12.38%,46.32%,15.45%,76.92%,12.64%,1,4,1262505000,1683815000,446946,30492,2291737000,4019342000,1361993000,10.87%,8.55%,10.01%,7.47%,4.37%,13,740260,2.57%,1.20%,-5.64%,76.97%,-421310000,,-4.58%,7547351000,3147309000,51.90%,9.81%,8.71%,6.82%,,1606793,46.07%,50.98,1.89%,11.24%,10.66%
SKE,Skeena Resources,382529376,4.45,4.95%,Other Industrial Metals & Mining,,341945376,Small-Cap,Materials,,Canada,,,,,,,,,,,,,,-92433000,-97822000,,,,,,,,,1,,43766000,3182000,,,12295000,140403000,-30813000,,,-50.00%,,,,135370,131.92%,-3.55%,,,40584000,42.52%,10.61%,184647000,44244000,,,,,,172547,78.45%,56.24,,,
EDTK,Skillful Craftsman Education Technology,14599777,0.95,-1.36%,Education & Training Services,,6257688,Nano-Cap,Consumer Staples,,China,,71,,,5522753,,,,-15386059,,,,,-18289842,-19021012,,,,,,,,,,,21545100,13203011,77785,-257603,19622765,25606227,-1813339,,,,-78.52%,,,55527,,-5.05%,,,8342089,-64.82%,57.14%,41027715,15421488,-278.59%,-344.41%,-323.44%,-331.17%,,41740,133.03%,47.80,7.73%,,
SKIL,Skillsoft,71698200,8.93,2.41%,Education & Training Services,,573486200,Micro-Cap,Consumer Staples,,United States,New York,2324,,,,,,,,,-0.18%,,,,,,,,,,,,,,2,136759000,638547000,,,-20504000,439948000,-106782000,,,-23.58%,,-0.31%,,16339,-1.30%,-0.29%,,,-501788000,,-699.86%,1424971000,985023000,,,,,,34908,46.81%,36.10,,,6.02%
SKLZ,Skillz,118523608,6.42,5.25%,Electronic Gaming & Multimedia,,-80556392,Micro-Cap,Communication Services,,United States,Nevada,240,,,163657000,-6.02%,,,146854000,-49.88%,-36.58%,,-7.65%,-242729000,-246487000,,,,,,,,,,3,334958000,135878000,681904,-1011371,285700000,227734000,-47789000,-39.81%,-3.10%,0.29%,-50.07%,-38.48%,,221792,-52.61%,-0.17%,,,199080000,11.70%,167.97%,428119000,200385000,89.73%,-150.61%,-148.17%,-148.32%,19.81%,193111,114.85%,50.06,0.14%,-10.18%,-32.12%
SKYH,Sky Harbour Group,855998336,13.25,2.47%,Aerospace & Defense,,1047194336,Small-Cap,Industrials,,United States,Nebraska,23,,,5946000,,,2,-626000,,,,,-5080000,-15940000,,,,,,,,,1,1,36760000,227956000,258522,-220870,,22651000,,319.13%,,183.24%,265.23%,480.51%,7,31354,6.21%,-0.09%,1049.71%,,-191196000,,-22.34%,332777000,244763000,-10.53%,-268.08%,-85.44%,-85.44%,,23016,136.23%,58.58,,279.15%,211.29%
SKY,Skyline Champion,4821262336,83.65,2.06%,Residential Construction,23.97,4348018336,Mid-Cap,Consumer Discretionary,25.95,United States,Michigan,7700,-700,-8.33%,1979992000,15.82%,8.80%,9,528585000,-39.14%,-18.85%,18.91%,28.60%,201654000,236222000,-58.23%,-45.07%,46.63%,,-53.20%,-43.28%,52.36%,,4,,497907000,24663000,257142,26189,530868000,1421958000,32961000,-19.17%,,13.00%,-28.08%,-3.93%,,200449,98.42%,98.42%,-27.58%,-24.16%,473244000,-32.40%,9.82%,1869419000,447461000,26.70%,11.93%,13.39%,10.18%,,288890,69.39%,54.69,3.21%,15.26%,26.74%
SKWD,Skyward Specialty Insurance Group,1434698240,37.19,3.68%,Insurance - Property & Casualty,17.27,1460102240,Small-Cap,Financials,14.83,United States,Texas,448,7,1.59%,827041000,,,2,340224000,66.61%,117.25%,,,66109000,107874000,249.20%,,,,602.54%,,,,2,4,103266000,128670000,1846074,147565,,535397000,,40.71%,19.86%,20.92%,37.31%,51.32%,5,272602,0.06%,0.02%,,,-25404000,,-1.77%,2850695000,2315298000,41.14%,13.04%,11.91%,7.99%,,318396,85.62%,63.11,2.58%,33.71%,35.39%
SKYT,SkyWater Technology,480839648,10.45,2.75%,Semiconductors,,525296648,Small-Cap,Technology,314.33,United States,Minnesota,731,,,286682000,26.85%,,4,59292000,128.34%,-27.43%,,37.73%,-30756000,-14788000,,,,,,,,,2,,18382000,62839000,392178,-42074,2178000,53740000,10537000,16.02%,,7.56%,34.63%,21.61%,8,256941,-32.32%,-27.96%,-4.70%,,-44457000,,-9.25%,316756000,256055000,20.68%,-5.16%,-10.91%,-10.73%,3.55%,448003,57.35%,50.99,-0.18%,23.46%,15.55%
SKYW,SkyWest,2746856448,69.48,1.76%,Airlines,89.97,5004412448,Mid-Cap,Industrials,10.55,United States,Utah,13121,-461,-3.39%,2935432000,11.33%,-1.84%,,2077919000,-1.31%,8.86%,-1.90%,17.31%,34342000,104069000,-42.55%,,-1.47%,-26.28%,-52.93%,,,-34.29%,,1,835223000,3092779000,223720,2617,-122396000,2113502000,-494415000,16.51%,,8.13%,-2.31%,10.35%,1,259238,-12.65%,-2.21%,-3.97%,-0.43%,-2257556000,,-82.19%,7026293000,4912791000,70.79%,3.55%,1.37%,1.17%,,499522,51.90%,69.40,0.20%,17.62%,17.39%
SWKS,Skyworks Solutions,16666707968,107.89,3.72%,Semiconductors,19.00,16805707968,Large-Cap,Technology,14.81,United States,California,9750,-1400,-12.56%,4644600000,5.37%,4.16%,,1976200000,-21.80%,-20.56%,0.80%,0.79%,904700000,1016300000,-29.82%,-29.62%,-5.00%,-4.16%,-23.63%,-25.24%,-5.35%,-4.40%,,,1045600000,1184600000,476369,92790,2471500000,6227200000,1425900000,-4.85%,6.36%,7.31%,-12.44%,-9.61%,,2012407,-50.48%,-20.01%,97.02%,,-139000000,,-0.83%,8229100000,2001900000,42.55%,21.88%,21.10%,19.48%,12.83%,2361498,85.22%,56.40,1.62%,-7.47%,-2.63%
SKYX,SKYX Platforms,118894656,1.41,9.30%,Electrical Equipment & Parts,,133364176,Micro-Cap,Industrials,,United States,Florida,29,,,36620765,112.62%,39.17%,,11411924,,253499.02%,67.00%,252.42%,-32336427,-30521366,,,,,,,,,,,22111119,36580639,1262785,-1115049,-2994093,17055708,-17954621,183729.87%,,102.41%,,252559.88%,4,256367,20.29%,5.38%,87.93%,58.13%,-14469520,,-12.17%,78343255,61287547,31.16%,-83.34%,-88.29%,-88.30%,,273696,93.67%,59.24,,236535.19%,283111.97%
SLG,SL Green Realty,3299526400,53.74,6.56%,REIT - Office,,7387977400,Mid-Cap,Real Estate,9.56,United States,New York,1188,51,4.49%,913710000,-4.61%,-5.73%,,564056000,-6.69%,-8.49%,-7.02%,-6.64%,-579509000,176466000,-33.96%,-11.41%,-11.91%,-15.33%,,,,,,,335519000,4423970000,769116,-487802,,3786315000,,-26.95%,,0.54%,-0.62%,-6.85%,,1256189,-32.06%,1.86%,-6.55%,-4.57%,-4088451000,,-123.91%,9531181000,5270704000,61.73%,19.31%,-61.79%,-63.42%,,1317019,95.38%,61.42,,-28.61%,-28.88%
SLAM,Slam Corp.,436415104,10.98,0.18%,Shell Companies,54.83,446632766,Small-Cap,Financials,,United States,New York,,,,,,,,,,,,,9355033,-3364210,,,,,-66.96%,-29.87%,,,,,3338,10221000,,,-1018850,-34491243,-1022188,,,,,,,2924,1146.46%,45.58%,,,-10217662,,-2.34%,271692056,35333785,,,,,,35873,8.15%,69.03,,,
SNBR,Sleep Number,333584992,15.70,4.67%,"Furnishings, Fixtures & Appliances",,1303699992,Small-Cap,Consumer Discretionary,40.00,United States,Minnesota,4054,,,1887482000,0.55%,4.27%,,1088530000,-9.46%,-10.68%,3.24%,-1.98%,-15287000,22942000,-66.20%,,-50.12%,-24.32%,,,,,,,2539000,972654000,465585,-3771,-729943000,-441928000,-111222000,-2.46%,1.08%,3.04%,-10.73%,-13.67%,,384455,8.55%,4.84%,18.18%,37.26%,-970115000,,-290.81%,950880000,1392808000,57.67%,1.22%,-1.05%,-0.81%,2.96%,616450,62.37%,59.04,-0.24%,-8.12%,-4.85%
